Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,TMDB ID
2023-04-23,The Super Mario Bros. Movie,2023,https://boxd.it/49OCAz,5,,"genre:action, genre:adventure, genre:comedy, source:theater, adaptation:game, style:animation",2023-04-23,502356
2023-05-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4cORxd,5,,"source:theater, genre:sci-fi, genre:adventure, genre:action, adaptation:comics",2023-05-04,447365
2023-05-07,Clock,2023,https://boxd.it/4dB40H,3,,"source:disney+, genre:thriller, genre:horror",2023-05-05,1085103
2023-05-10,The Sea Beast,2022,https://boxd.it/4egH9v,3.5,,"source:netflix, genre:adventure, genre:action, genre:family",2023-05-08,560057
2023-05-16,Air,2023,https://boxd.it/4fCEf9,4,,"source:primevideo, genre:drama, genre:sports, adaptation:facts",2023-05-15,964980
2023-05-19,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4gmCol,3,,"source:disney+, genre:adventure, genre:action, genre:comedy, adaptation:comics",2023-05-19,640146
2023-05-23,Ghosted,2023,https://boxd.it/4hwInn,4,,"source:appletv, genre:comedy, genre:adventure, genre:action",2023-05-23,868759
2023-05-25,"Confess, Fletch",2022,https://boxd.it/4hQQ07,3,,"genre:comedy, genre:drama, genre:detective, source:sky",2023-05-24,724665
2023-05-27,Shazam! Fury of the Gods,2023,https://boxd.it/4ifpfz,4,,"genre:action, genre:adventure, genre:comedy, adaptation:comics, source:hbomax",2023-05-26,594767
2023-05-30,The Seventh Sign,1988,https://boxd.it/4j3TU3,3,,"source:netflix, genre:horror, genre:thriller",2023-05-29,11082
2023-06-02,Greenland,2020,https://boxd.it/4jT5Oj,3,,"source:primevideo, genre:drama, genre:thriller, genre:disaster",2023-06-02,524047
2023-06-04,The Mitchells vs. The Machines,2021,https://boxd.it/4kmTUz,5,,"source:netflix, genre:adventure, genre:action, genre:sci-fi, style:animation",2023-06-03,501929
2023-06-06,Dogtooth,2009,https://boxd.it/4l9h0L,5,,"source:alternative, genre:drama, genre:thriller",2023-06-06,38810
2023-06-09,Samson,2018,https://boxd.it/4lPBJ1,2.5,,"source:alternative, genre:action, genre:epic, adaptation:book",2023-06-09,474392
2023-06-11,Nope,2022,https://boxd.it/4mtzgh,4,,"genre:horror, genre:sci-fi, source:sky",2023-06-11,762504
2023-06-13,Confessions of a Dangerous Mind,2002,https://boxd.it/4mWL7J,4.5,,"source:alternative, genre:drama, genre:crime, adaptation:facts",2023-06-13,4912
2023-06-21,Raising Arizona,1987,https://boxd.it/4pieLt,5,,"source:alternative, genre:comedy, genre:crime",2023-06-21,378
2023-06-27,Stan Lee,2023,https://boxd.it/4qLdFr,4,,"source:disney+, adaptation:facts, genre:documentary",2023-06-26,717082
2023-07-02,Flashbacks of a Fool,2008,https://boxd.it/4sdAfr,3.5,,"source:alternative, genre:drama",2023-07-01,13793
2023-07-02,Last Night in Soho,2021,https://boxd.it/4shXlZ,5,,"source:primevideo, genre:horror, genre:thriller, genre:mistery",2023-07-02,576845
